AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,POSITION,FREQ,DFGM,DFGA,DFG%,DD FG%,DIFF%,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG,OPP RA FGM,OPP RA FGA,OPP RA FG%,OPP PAINT FGM,OPP PAINT FGA,OPP PAINT FG%,OPP MID-RANGE FGM,OPP MID-RANGE FGA,OPP MID-RANGE FG%,OPP LEFT CORNER 3 FGM,OPP LEFT CORNER 3 FGA,OPP LEFT CORNER 3 FG%,OPP RIGHT CORNER 3 FGM,OPP RIGHT CORNER 3 FGA,OPP RIGHT CORNER 3 FG%,OPP ABOVE THE BREAK 3 FGM,OPP ABOVE THE BREAK 3 FGA,OPP ABOVE THE BREAK 3 FG%,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
25,21,7,14,14.5,5.1,1.9,3.9,49.4,0.4,1.1,39.1,0.9,1.4,62.1,1.4,2.2,3.6,0.8,0.6,0.2,0.5,2.2,12.0,0,0,-3.6,F,100.00%,1.9,4.8,41.0,45.5,-4.5,1.4,2.5,56.6,0,0.1,33.3,0,0.1,0,0.2,0.6,36.4,0.2,0.4,57.1,0,0.2,20,6.1,10.2,59.8,1.2,2.6,46.3,0.8,2.4,34,1.4,3,45.8,1.7,4,43,2.1,5.1,41.7,71.6,28.4,57.9,0.0,25.2,8.4,16.8,11.2,57.9,71.0,29.0,100.0,0.0,77.5,22.5
26,72,53,19,13.9,4.7,1.9,3.8,48.7,0.6,1.6,35.6,0.4,0.7,56.3,1.1,2.3,3.4,0.4,0.4,0.3,0.2,1.9,10.4,1,0,0.2,F,100.00%,2.3,4.8,46.7,44.9,1.8,1.1,1.7,66.4,0.1,0.3,36.8,0.1,0.3,31.6,0.3,0.6,43.2,0.1,0.4,23.1,0.3,0.8,36.4,5.6,8.6,64.8,1,2.9,35.1,0.8,2.2,37.4,0.8,1.9,40,1.6,4,39.4,2,6.2,32.7,57.1,42.9,54.6,3.6,37.4,19.3,8.0,12.8,51.0,71.7,28.3,100.0,0.0,80.6,19.4
23,14,9,5,4.6,0.9,0.3,1.1,25.0,0.1,0.1,50.0,0.3,0.6,50.0,0.3,1.1,1.4,0.1,0.0,0.1,0.2,0.5,3.5,0,0,0.1,F,100.00%,1.4,3.3,41.7,46.0,-4.3,0.2,0.5,33.3,0.1,0.2,33.3,0,0.4,0,0.2,0.2,100,0,0,0,0,0.1,0,2.2,3.4,64.6,0.3,0.9,27.3,0.3,0.3,100,0.1,0.8,14.3,0.4,1.9,23.5,1.1,3.2,33.3,87.5,12.5,46.2,0.0,23.1,0.0,30.8,15.4,46.2,0.0,100.0,100.0,0.0,25.0,75.0
27,43,19,24,26.4,9.6,3.2,8.7,36.7,2.3,6.0,37.8,1.0,1.3,73.2,0.4,3.1,3.4,1.1,1.1,0.5,0.3,2.4,16.8,1,0,0.1,G-F,100.00%,2.7,6.8,39.9,44.1,-4.2,0.5,0.8,55.6,0.2,0.6,26.9,0.3,1.2,24.5,0.4,0.7,51.7,0.4,0.8,46.9,1.6,4.5,34.4,10,16.3,61.2,2.2,5.4,40.3,2.2,5.3,41.2,2.1,5,41.6,2.2,7.6,28.4,3.3,9.1,36.4,30.6,69.4,18.9,5.8,71.2,15.0,9.9,11.6,13.1,87.2,12.8,99.0,1.0,95.6,4.4
23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2,G,100.00%,3.3,7.1,47.1,44.6,2.5,1.8,3.3,55.7,0.2,0.8,30.6,0.7,2,37.6,0,0.2,27.3,0.1,0.2,45.5,0.7,1.7,40,10.2,16.7,61.1,1.3,3.5,38.6,1.3,3,42.5,1,2.8,37,2.4,6.7,35.6,2.8,8.5,33.3,74.5,25.5,51.8,13.5,22.4,13.8,25.8,15.5,38.3,26.7,73.3,63.5,36.5,34.9,65.1
26,12,9,3,5.7,2.3,0.8,1.3,62.5,0.0,0.0,0.0,0.6,0.7,87.5,0.5,1.3,1.8,0.3,0.1,0.3,0.3,0.7,6.1,0,0,1.1,F,100.00%,1.8,3.3,53.3,45.4,8.0,0.8,1,75,0.1,0.4,25,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.3,79.5,0.2,0.5,40,0.2,0.6,40,0.5,1.3,40,0.7,2.2,30,0.9,2.8,33.3,100.0,0.0,74.1,0.0,0.0,14.8,25.9,22.2,74.1,70.0,30.0,0.0,0.0,70.0,30.0
32,51,32,19,10.4,3.9,1.5,3.1,50.3,0.2,0.8,30.0,0.6,0.8,75.6,0.9,2.0,2.9,1.2,0.9,0.3,0.3,1.9,10.0,0,0,-1.4,C-F,100.00%,3.0,5.7,53.1,47.1,6.0,1,1.5,69.3,0.3,0.7,34.2,0,0.1,50,0,0.1,0,0,0.1,25,0.2,0.6,34.4,4.5,7.3,62.4,1,2.5,39.7,0.7,1.6,41.6,0.8,1.9,45.1,1,2.4,41.1,1.3,3.6,35,74.5,25.5,66.7,2.0,17.9,6.5,15.4,13.4,64.7,68.7,31.3,100.0,0.0,73.4,26.6
25,79,40,39,33.5,17.3,7.1,13.3,53.3,0.1,0.5,13.2,3.1,5.2,59.0,5.4,10.2,15.6,1.4,2.2,1.7,1.7,3.4,46.4,69,0,2.2,C,100.00%,6.9,14.9,46.5,48.6,-2.1,5.8,9.4,61.6,1.1,2.9,37.9,0.1,0.5,24.3,0,0.1,25,0,0,0,0.1,0.3,16.7,13.3,21.2,62.8,2.8,6.7,41.7,2.2,5.1,43.2,2.2,4.9,44.2,3,7.9,38.2,4.1,12.6,32.1,96.4,3.6,81.2,1.3,1.1,7.0,17.7,18.0,79.9,57.0,43.0,80.0,20.0,57.2,42.8
35,68,47,21,23.2,5.7,2.2,4.4,50.0,0.7,2.1,33.3,0.6,1.0,58.2,0.7,3.0,3.7,3.2,0.8,0.9,0.8,1.4,19.1,0,0,4.6,F-G,100.00%,3.1,7.2,43.3,45.8,-2.5,1.3,1.6,83.3,0.1,0.3,29.4,0.1,0.5,24.2,0.2,0.5,35.5,0.2,0.5,46.7,0.3,1.2,28,7.9,13.1,60,2,5.4,37.9,1.7,4,41.7,1.3,3.3,40.4,2,6.3,32.4,3.8,10.6,35.7,52.3,47.7,53.0,4.1,37.0,21.6,10.0,20.6,48.8,75.7,24.3,95.8,4.2,82.1,17.9
33,4,1,3,3.7,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.3,0.3,0.0,0.0,1.1,0,0,1.3,G,100.00%,0.5,1.5,33.3,43.4,-10.0,0,0,0,0,0.3,0,0,0.5,0,0,0.3,0,0,0,0,0,0.5,0,1,2.5,40,0.5,1,50,0,0,0,0.7,1.3,50,0.5,2.3,22.2,0.3,0.8,33.3,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
