,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
156,Emmanuel Mudiay,48.2,3.9,0.7,8.6,11.2,4.8,4.5,40.3,1.1,9.5,2.1,2.0,5.1,1.4,67.3,26.3,5.3,4.71,4.23,0.4,0.2,0.9,11315.8,1.22,0.92,4.45,NYK
157,Enes Kanter,31.4,1.7,0.1,3.3,0.9,0.6,0.1,15.0,0.0,1.7,1.1,0.4,0.1,0.0,45.7,30.8,1.5,2.0,0.65,3.0,6.6,7.2,9351.9,0.95,0.82,4.08,POR
158,Eric Bledsoe,38.1,5.5,0.6,9.5,11.1,4.3,5.0,44.8,1.4,12.2,2.6,2.5,3.3,2.1,56.2,23.5,4.1,4.43,4.03,0.5,0.1,1.8,11627.7,1.17,1.04,4.26,MIL
159,Eric Gordon,21.7,1.9,0.3,3.9,7.4,3.8,2.5,34.3,0.6,8.1,6.6,6.6,2.6,2.1,38.8,24.1,1.7,2.64,2.01,0.3,0.1,0.6,11147.0,1.12,0.99,3.75,HOU
160,Eric Moreland,12.0,0.8,0.0,1.0,0.4,0.2,0.2,50.0,0.0,0.0,0.2,0.2,0.2,0.0,14.6,8.4,0.4,1.71,0.37,1.4,0.6,1.2,3424.2,0.35,0.3,4.13,TOR
161,Ersan Ilyasova,20.9,0.8,0.2,1.3,0.5,0.3,0.1,21.9,0.0,0.0,2.4,2.0,0.7,0.4,28.1,15.9,0.6,1.26,0.35,1.1,0.4,2.8,7293.5,0.73,0.65,4.2,MIL
162,Evan Fournier,26.1,3.7,0.5,6.9,8.9,3.9,3.8,43.1,1.1,11.9,4.0,3.6,4.3,1.7,43.4,35.1,2.2,2.99,2.15,0.9,0.1,1.1,12726.7,1.32,1.09,4.34,ORL
163,Evan Turner,38.7,3.9,0.2,7.2,4.0,2.1,1.3,32.4,0.3,8.2,0.7,0.6,2.5,0.1,48.6,18.6,3.8,4.74,4.04,0.5,1.8,1.2,8367.6,0.87,0.71,4.02,POR
164,Frank Jackson,18.3,1.1,0.2,2.0,3.2,1.9,1.0,29.8,0.2,7.1,2.3,2.2,1.6,0.6,27.7,16.8,1.2,2.5,2.02,0.5,0.0,1.0,8038.2,0.82,0.71,4.46,NOP
165,Frank Kaminsky,25.0,1.3,0.2,2.3,2.9,1.3,0.8,28.9,0.2,6.7,3.0,2.9,0.3,0.1,33.5,21.0,0.8,1.52,0.56,1.2,0.7,1.8,6380.2,0.68,0.53,4.22,CHA
