PLAYER,TEAM,FREQ
Justin Holiday,MEM,7.80%
Justin Holiday,CHI,5.00%
Justin Jackson,SAC,5.60%
Justin Jackson,DAL,7.20%
Justise Winslow,MIA,30.40%
Kadeem Allen,NYK,36.60%
Kawhi Leonard,TOR,26.80%
Keita Bates-Diop,MIN,7.10%
Kelly Olynyk,MIA,2.30%
Kelly Oubre Jr.,PHX,20.10%
Kelly Oubre Jr.,WAS,9.20%
Kemba Walker,CHA,46.80%
Kenrich Williams,NOP,5.60%
Kent Bazemore,ATL,25.50%
Kentavious Caldwell-Pope,LAL,9.30%
Kevin Durant,GSW,19.00%
Kevin Huerter,ATL,23.00%
Kevin Knox II,NYK,19.80%
Khris Middleton,MIL,19.60%
Klay Thompson,GSW,4.00%
Kris Dunn,CHI,52.00%
Kyle Anderson,MEM,11.90%
Kyle Korver,UTA,7.10%
Kyle Kuzma,LAL,9.10%
Kyle Lowry,TOR,24.10%
Kyrie Irving,BOS,29.40%
Lance Stephenson,LAL,28.90%
Landry Shamet,PHI,6.90%
Landry Shamet,LAC,9.90%
Langston Galloway,DET,7.10%
Larry Nance Jr.,CLE,2.50%
Lauri Markkanen,CHI,4.20%
LeBron James,LAL,28.10%
Lonzo Ball,LAL,24.40%
Lou Williams,LAC,54.60%
Luka Doncic,DAL,38.30%
Luke Kennard,DET,24.70%
Malcolm Brogdon,MIL,19.00%
Malik Beasley,DEN,11.90%
Malik Monk,CHA,18.40%
MarShon Brooks,MEM,32.70%
Marco Belinelli,SAS,15.60%
Marcus Morris Sr.,BOS,4.70%
Marcus Smart,BOS,19.50%
Mario Hezonja,NYK,25.20%
Markelle Fultz,PHI,34.00%
Matthew Dellavedova,CLE,40.20%
Maurice Harkless,POR,2.20%
Michael Carter-Williams,ORL,28.60%
Mikal Bridges,PHX,7.30%
Mike Conley,MEM,41.90%
Mike Scott,LAC,5.70%
Miles Bridges,CHA,4.00%
Milos Teodosic,LAC,45.30%
Monte Morris,DEN,35.20%
Montrezl Harrell,LAC,1.70%
Nemanja Bjelica,SAC,2.10%
Nicolas Batum,CHA,22.20%
Nik Stauskas,POR,17.20%
Nik Stauskas,CLE,7.50%
Nikola Jokic,DEN,4.20%
Noah Vonleh,NYK,1.70%
Norman Powell,TOR,24.40%
OG Anunoby,TOR,4.30%
Otto Porter Jr.,CHI,32.60%
Otto Porter Jr.,WAS,12.70%
Pascal Siakam,TOR,5.30%
Pat Connaughton,MIL,4.80%
Patrick Beverley,LAC,28.60%
Patrick McCaw,TOR,13.20%
Patty Mills,SAS,34.00%
Paul George,OKC,24.50%
Paul Millsap,DEN,4.60%
Quinn Cook,GSW,26.70%
Rajon Rondo,LAL,45.30%
Raul Neto,UTA,36.00%
Raymond Felton,OKC,44.50%
Reggie Bullock,DET,10.30%
Reggie Jackson,DET,36.60%
Ricky Rubio,UTA,33.60%
Robert Covington,MIN,9.20%
Rodions Kurucs,BKN,2.70%
Rodney Hood,CLE,24.50%
Rodney Hood,POR,22.80%
Rodney McGruder,MIA,20.10%
Rondae Hollis-Jefferson,BKN,2.50%
Royce O'Neale,UTA,5.10%
Rudy Gay,SAS,12.00%
Russell Westbrook,OKC,24.70%
Ryan Arcidiacono,CHI,36.10%
Seth Curry,POR,25.90%
Shabazz Napier,BKN,39.80%
Shai Gilgeous-Alexander,LAC,41.80%
Shake Milton,PHI,11.60%
Shaquille Harrison,CHI,22.50%
Shaun Livingston,GSW,9.20%
Shelvin Mack,MEM,37.90%
Solomon Hill,NOP,4.90%
Spencer Dinwiddie,BKN,37.40%
Stanley Johnson,DET,7.70%
Stanley Johnson,NOP,19.80%
Stephen Curry,GSW,21.60%
Sterling Brown,MIL,9.80%
Svi Mykhailiuk,LAL,12.50%
